"","texts","dates","titles"
"1","
                    
                        Increase totals 14.5% over two years.
                    

Junior doctors across Scotland have been offered a 14.5% pay uplift over the two year period 2022-24, following negotiations with BMA Scotland.
This represents a £61.3 million investment in junior doctor pay - the largest in the last 20 years and the best offer in the UK.
If accepted, the new and final offer will be a pay raise of 6.5% in 2023/24, as well as an additional 3% towards an already agreed 4.5% uplift in 2022/23. This amounts to a cumulative increase of 14.5% over two years and matches the recent pay award accepted by nurses and other NHS workers in 2023. 
This offer means a doctor at the beginning of their career would receive a total salary increase of £3,834 over two years. For those at the end of their training the rise would be £7,951 over the same period. 
Health Secretary Michael Matheson said:
“After weeks of intense negotiations I’m delighted our government and BMA Scotland have come to an agreement on pay which they will now put to their members.
“Recognising the incredible work that junior doctors do, we have offered a fair and progressive rise which will mean a pay increase of 14.5% over two years - the best offer on the table in the UK.
“We have taken their concerns regarding pay, and the need to modernise pay bargaining more broadly, extremely seriously. It’s now up to junior doctors to reflect on this final offer, and I hope they will accept.”            ",2023-05-22,"New pay offer for junior doctors"
"2","
                    
                        Rural Affairs Secretary writes to Prime Minister.
                    

The Rural Affairs Secretary Mairi Gougeon has written to the Prime Minister calling for detail of the announcements made by the UK Government this week. Ms Gougeon writes:
""It is vital...that we receive some more information about any funding announcements described in your letter this week to enable us to gauge the sufficiency, extent and implications of those announcements for the sector and to understand how these apply to Scottish agri-food producers and those of the other devolved governments."" 
The full text of the letter is below.
Rt Hon Rishi Sunak MPPrime MinisterCC: Rt Hon Therese Coffey MP
19 May 2023
Dear Rishi,
UK GOVERNMENT PUBLIC LETTER TO BRITISH FARMERS AND FUNDING ANNOUNCEMENTS
I am writing about the announcements made, including funding announcements, in your public letter to farmers earlier this week, and following your Government’s recent Farm to Fork summit. 
It is pleasing to see the UK Government now recognising the growing importance of, and shifts in attitude to, overall food security in this country but it is also important to acknowledge that this follows a series of significant shocks to the food and drink sector, from COVID-19 and Brexit.  Those shocks have undoubtedly disrupted supply chains and created new barriers to trade.
As was confirmed by the Scottish Parliamentary debate on food security on 18th May, as much as we do to make food supply more sustainable and secure at all levels in Scotland, we do that with only a fraction of the powers, levers and funding that we need. I have written to UK Defra Ministers repeatedly about the range of issues impacting on the sector and to highlight to them the report of the Short-life Food Security and Supply Taskforce that the Scottish Government established together with industry about food security in March last year, in the immediate wake of the conflict in Ukraine.  While the Taskforce recognised that the UK Government holds many of the levers to help sort many of the issues impacting on the sector, we have not received any meaningful engagement with UK Ministers about this so far.  The rapid response by the Scottish Government in establishing the taskforce, and subsequently establishing a food security unit within the Scottish Government, has been important.  It is disappointing that the focus your Government seems to be giving to this issue now, however laudable, has not been in more evidence, sooner. 
In my view, it is extremely important and incumbent on us to work together constructively and in line with our Inter-Governmental relationship principles on these issues, to support the food and drink sector ably.  It is vital, for example, that we receive some more information about any funding announcements described in your letter this week to enable us to gauge the sufficiency, extent and implications of those announcements for the sector and to understand how these apply to Scottish agri-food producers and those of the other devolved governments.  A key question, for example, is whether this is new money as Scotland would clearly want to see its fair share if it is.  Also, without that further information, and while any supports are welcome, I am not convinced these announcements will go far enough to mitigate the ongoing short- and long-term significant effects on the sector, including from labour and skills shortages and high input, including energy costs. While I am disappointed that Scottish Ministers were not invited to the Summit, I am ever the optimist and hope this is the start of a process that we can build on, with the full involvement of the devolved administrations, industry and other relevant parties.
I also note the principles described in your letter about future trade negotiations.  Scottish Ministers of course recognise that trade has an important role to play in food supply, including economically, but again, we have repeatedly made clear (and in line with Scotland’s Vision for Trade) that these trade deals must be negotiated in a way that balances market access with protection of domestic producers.  Scottish Ministers made those points to the UK Government repeatedly throughout the negotiation of the UK-Australia and New Zealand Trade Deals. The announcement of a set of principles now (and while on the face of it those appear to be a positive development) seem to come a little too late in the day and also provide further confirmation that those earlier trade deals were poorly negotiated by the UK Government.  While we will wait to see the effect of these new principles in the negotiation of future arrangements, it is imperative that UK Ministers work together with, and actively listen to, Ministers from the devolved governments and industry to ensure that our agri-food producers across the whole of the UK  are better protected going forward.    
As many of these issues have a significant effect on Scotland’s economy and devolved matters, I believe that it is vital that Scottish Ministers are able to discuss the detail of the announcements made this week and in your open letter to farmers, with UK Ministers and as a priority, including at our next EFRA portfolio Inter-Ministerial Group meeting. 
I am copying this letter to Richard Lochhead MSP, Minister for Small Business, Innovation and Trade; Vaughan Gething, Minister for the Economy; Lesley Griffiths, Minister for Rural Affairs and North Wales and Trefnydd in the Welsh Government; and to the Head of the Northern Ireland Civil Service.
MAIRI GOUGEON            ",2023-05-19,"Scottish Ministers call for meaningful engagement from UK Government on issues of food security"
"3","
                    
                        An Official Statistics Publication for Scotland.
                    

The Chief Statistician has released statistics relating to the 2023 non-domestic rates revaluation. 
As a result of revaluation, the total rateable value increased by £390 million or 5.36%, compared to that on the day before revaluation took effect.
Shops, public houses, and restaurants saw a decrease in their overall rateable value. Petrochemicals, quarries, mines, and sporting subjects had the highest proportional increases, while statutory undertakings and industrial properties contributed most to the overall increase.
The average gross bill increased by 3.37% as a result of revaluation. This is lower than the increase in rateable value due to the general revaluation transitional relief. In addition to the gross bills for shops, public houses, and restaurants, the gross bill for hotels decreased despite the slight increase in rateable value.
This publication shows the changes in rateable values as a result of the 2023 revaluation, and the resulting changes in gross bills charged on non-domestic properties, and is accompanied by detailed tables showing breakdowns of these changes.
Background 
Statistics relating to the 2023 non-domestic rates revaluation.
Non-domestic rates are a property tax, charged on a non-domestic property. The amount that each ratepayer will pay is proportional to the determined value of their property, known as the rateable value, and may be reduced by reliefs. The 2023 revaluation updates rateable values in the 2017 revaluation roll, which came into force on 1 April 2017. Rateable values are determined by the 14 Scottish Assessors, who are independent of both Scottish and local government.
The poundage (tax rate) is set nationally by the Scottish Government, and for the financial year 2023 to 2024 it has been set at 49.8p for every £1 of rateable value. Properties with a rateable value greater than £51,000, but not greater than £100,000 are liable for an additional supplement of 1.3p per £1 (the Intermediate Property Rate), and those with a rateable value above £100,000 are liable for an additional supplement of 2.6p per £1 of rateable value (the Higher Property Rate).
General revaluation transitional relief was introduced from 1 April 2023 to protect ratepayers from large increases in rateable values due to revaluation. Ratepayers may be eligible to apply for other reliefs which may reduce or remove their liability.            ",2023-05-18,"Non-domestic rates revaluation statistics"
"4","
                    
                        Monitoring supply chain to build resilience.
                    

Ensuring Scotland’s food security by monitoring the supply chain for possible disruption is the focus of a new dedicated Food Security Unit.
Its establishment was a key recommendation of the Short-life Food Security and Supply Taskforce, which was set up by the Scottish Government, together with industry, immediately following Russia’s invasion of Ukraine.
The new Food Security Unit will take forward the legacy activity of the taskforce. It will monitor food system resilience and engage widely so that government and industry are able to react as quickly as possible to any future shocks.
Speaking ahead of a parliamentary debate on Securing a Sustainable Food Supply for Scotland, Rural Affairs Secretary Mairi Gougeon said:
“In the recent past we’ve seen several significant events impacting our food and drink sector, including Covid-19, the war in Ukraine and, crucially - the UK Government’s choice to pursue a hard Brexit, which took us out of the EU and the Single Market. On top of this there has been further disruption to supply chains resulting from climate volatility, something that we are likely to see more of in the future.
“I want to ensure we are able to anticipate and adapt to shocks as much as possible, while we develop policies to try to mitigate them and reduce their likelihood. While it is not possible to predict all impacts, our new dedicated Food Security Unit will enable better long-term insight into global supply chain performance - helping us to improve our responsiveness to potential crises. 
“Our farmers and crofters are essential to Scotland’s food security and I am committed to supporting our nation's producers, in the short term, by maintaining direct payments, and in the long term through our new Agriculture Bill and reform programme.”            ",2023-05-18,"Protecting food security"
"5","
                    
                        Steps taken to ensure completion of ferries.
                    

Scottish Ministers have taken action to ensure the completion of two ferries by Ferguson Marine following a due diligence assessment carried out on forecast costs.
In an update to parliament, Wellbeing Economy Secretary Neil Gray re-affirmed the Scottish Government’s commitment to supporting the completion of the vessels, which remain the quickest way of introducing new lifeline connectivity for island communities.
He also confirmed that a Ministerial Written Authority was issued in order to enable work on vessel 802 to continue. Without such authority vessel 802 would have to be re-procured and deployment of a new ferry potentially delayed for at least two-and-a-half years. He also made clear his expectation that the management of the yard would continue to scrutinise and bear down on future costs.
The commitment will support a sustainable future for Ferguson Marine and commercial shipbuilding on the Clyde, protecting highly skilled jobs while creating opportunities for future generations.
Mr Gray said:
“Our island communities deserve to be supported by two new, energy efficient vessels with the capacity and reliability required to support vibrant island economies.
“While I accept the pure value for money assessment on vessel 802 is challenging, this narrow calculation does not take into account the added delays, the wider benefits of continuing the vessel’s build at Ferguson Marine or the full cost of not doing so.
“If written authority to complete vessel 802 at Ferguson’s was not provided, we could be looking at a delay in deploying a new vessel to May 2027 at the earliest – four years from now and two-and-a-half years after 802 is due to be delivered. I do not consider that it is acceptable to ask our island communities to wait this further period. Also, the due diligence assessment cannot take into account the impact of withholding investment on the Inverclyde and wider Scottish economies.
“While the impact on our island communities and on our economy are not covered by the value for money assessment, they have guided the decisions I have taken, which recognise the broader social and economic benefits of completing both ferries and ensuring the yard continues to have a strong platform upon which to progress and prosper.”
Background
The Cabinet Secretary’s statement to Parliament.
The request for Written Authority and the Cabinet Secretary’s response.
The value for money assessment contains commercially confidential material.
Public Finance and Accountability (Scotland) Act 2000 (legislation.gov.uk)
Since devolution there have been five occasions where Accountable Officers for parts of the Scottish Administration have sought written authority.             ",2023-05-16,"Ferguson Marine update"
"6","
                    
                        Funding to support local economies and communities.
                    

Projects designed to stimulate economic activity, boost tourism and improve community assets on Scotland’s islands will share £4.1 million in the latest round of funding from the Islands Programme.
A total of 13 initiatives will benefit from the funding include the a community recycling hub on Shetland, the construction of new accommodation for workers in Mull and the development of a new bike park on the Isle of Arran. Over £700,000 has also be used to help preserve the 18th Century Garrison House complex in Millport, Great Cumbrae.
Islands Secretary Mairi Gougeon announced the news whilst attending a conference on sustainable islands in Shetland – part of a two-day visit to the region where Ms Gougeon will be meeting with local businesses and communities.
Ms Gougeon said:  
“I recognise the continued resilience shown by Islanders in response to the climate and cost of living crises but I am mindful that ongoing support is needed in order to ensure the long term sustainability of our island communities.
“This new funding displays our commitment to enact our National Islands Plan across all six island authorities in Scotland in order to tackle island depopulation, boost local economies and bolster tourism.
“Whilst here on Shetland I am happy to announce almost £800,000 of funding for Shetland Islands Council to support a community growing space, the expansion of the Shetland Home Project and the renovation of a building to provide an inspirational hub for arts and health.
“I look forward to seeing the positive impact that the projects will have in their respective communities.”
Neil Rutherford, Senior Associate Director, Scottish Futures Trust said:
 “Our infrastructure experts have worked closely with Scottish Government and the island local authorities to ensure the Islands Programme continues to deliver positive outcomes for island communities.
“The awards further support equality of opportunity, and community social enterprise ventures that will support repopulation, economic growth and local jobs, and we’re looking forward to continuing to work with the community project teams to see their visions move into reality and achieve what the communities need most.”
Shetland Islands Council Leader Emma MacDonald said:
“I am delighted with this investment in Shetland from the Scottish Government’s Islands Programme.
“The projects which we put forward for consideration were developed and driven by local communities, and address vital issues for our future such as employment support for vulnerable people, regeneration of community assets, food security, and addressing climate change through the circular economy.
“This news will be an incredible boost for these groups and we can’t wait to see the projects in action.”
North Ayrshire Council Leader Marie Burns said:
“We’re absolutely delighted to receive funding for two projects of major significance on the islands of Cumbrae and Arran.
“This will secure the future of the historic Garrison House in Millport, allowing it to be enjoyed by future generations. We’ll work closely with Cumbrae Community Development Company to deliver the much-needed conservation work and improvements.
“And we are also thrilled to accept funding which will support the creation of an accessible, all-weather bike park at Dyemill on Arran. This will help make Arran High School Mountain Bike Club’s vision for the park a reality and make a major contribution to encouraging residents to engage in cycling activities.
“The support for these two projects through the Scottish Government’s Islands Programme is most welcome.  It will contribute to the delivery of our ambitious Island Plans and have a real and lasting impact for both island communities.”
Background
The 2023/24 Islands Programme (IP) was launched on 31 January 2023, with an application deadline of 21 April 2023.  It is being delivered in partnership with local government via a competitive bid process with the six island Local Authorities as lead applicants.
Applications to the IP have been subject to scrutiny and assessment by the Islands Programme Investment Panel which has made recommendations on projects to be funded.  The panel is selected from Scottish Government and a range of partner organisations who have experience of panel assessments and infrastructure spending.
Details of approved projects 
£298,900 - Canna Hub, Canna - Highland Council
This project will redevelop a former coal store beside Canna pier to create a reception hub and accessible facilities to support the sustainable growth of the island’s economy. The building will help support the increasing number of visitors that form a major part of the island’s economy. The building will also act as a consultation and treatment room for use by NHS health workers so that residents can attend appointments in private.
£700,000 - Infrastructure for Worker Accommodation -  Mull, Argyll and Bute Council 
This application is for phase one site infrastructure to enable delivery of accommodation for workers and will meet clearly evidenced community need for worker accommodation with essential positions currently being left unfilled. The project makes a significant contribution in delivering on the place-based priorities of the Isle of Mull community to meet housing need, that will in turn accelerate local growth and resilience.
£75,202 - Growing Space Nesting Shetland Mainland -  Shetland Islands Council
 This project, run by Community Development Company Nesting, aims to transition a section of its vacant land into a community growing space and park for skills building, food growing and volunteering. It will address the identified local demand for a community growing space and increase regular access to affordable, fresh produce, featuring options for shared, publicly accessible outdoor and undercover growing to allow the production of fruit and vegetables. Based on local priority, Growing Space focusses on increasing community empowerment and resilience, promotes sustainable socio economic and environmental growth in Shetland, and is an example of working to achieve the Scottish Government’s Net Zero Ambitions.
£450,000 - Tiree Community Care Hub  - Tiree, Argyll and Bute Council 
 This project centres on the modernisation and reconfiguration of the Tigh a Rudha care home. It acts as a catalyst to better meet the current and anticipated future care needs of the island community and will support Tiree’s population retention and growth plans. Tigh a Rudha, a critical part of the island community and currently providing essential care and support to elderly residents, will be transformed into a modern and flexible Community Care Hub which will also provide onsite key worker accommodation, and intermediate, end of life and respite care facilities and GP beds.
£730,998 - Garrison House Regeneration Scheme, Cumbrae - North Ayrshire Council
The Garrison House Regeneration Scheme seeks to restore, re-purpose and enhance the Garrison House complex in Millport, Isle of Cumbrae. Garrison House is a significant asset to the island and an important hub for both residents and visitors. The project will secure the building fabric for future generations, improve accessibility, improve the availability of and access to services, and increase its energy efficiency and resilience to climate change. Work will include a comprehensive conservation scheme, a new gym accessible to all and provision of a changing places facility to address the lack of both on the island.
£220,625 - Dyemill Bike Park, Arran - North Ayrshire Council
Arran High School Mountain Bike Club propose to build, manage, and maintain an accessible, inclusive, and safe, all-weather environment to grow and develop the Island’s cycling community, inspiring Arran to cycle.  The facility will provide the opportunity for residents and visitors to engage in cycling in many forms.  With this new facility the Island’s cycling community will benefit from being able to grow and develop local competition and event opportunities in addition to providing a safe and accessible area for coaching and skills development.
£695,000 - COPE Ltd – Shetland Home Co Expansion Project, Mainland Shetland -  Shetland Islands Council
This project is designed to grow the reach and impact of COPE’s Shetland Home Co, a re-use centre that sells furniture, electrical goods, and homeware among other items. The participants who work at the Shetland Home Co are breaking down barriers and stigmatisation and show that people with a learning disability can sustain employment. Electrical goods that cannot be sold are processed and stripped down to components for recycling. The project will support the circular economy, Scotland’s Net Zero ambitions and positively impact on individuals with learning disabilities - one of the most disadvantaged groups in the labour market.
£71,005  - Hymhus, The Bigton Regeneration Hub Phase 1, Mainland Shetland. Shetland Islands Council
This application is for Phase 1 of the renovation of Hymhus to provide an inspirational hub for arts and health. The measures will improve sustainability and meantime use, allow for a more flexible renovation plan and a continued income stream for a key community asset which provides a warm space, works to address social isolation and hosts therapeutic services. It will secure the future of the community asset, and ensure the longer-term sustainability of the building.
£250,000 - Stornoway Campus, Lewis - Comhairle nan Eilean Siar
The planned works are to redevelop UHI Outer Hebrides to enhance the high-quality learning and training facilities and enable innovative approaches to digital and distance learning. This will involve transforming Stornoway campus to increase the attractiveness of the campus and, through the integration of new technologies, enable a greater degree of outreach to more remote learners and island businesses. A range of mobile facilities and equipment will further support equality of opportunity and enable outreach capability in Uist and Barra. The Islands Programme funding will support Mobile Equipment and Facilities and Immersive Classroom Technology.
£382,307 - Acarsaid Harbour Development Eriskay and South Uist - Comhairle nan Eilean Siar
This application is to enhance the currently constrained harbour facility at the local authority owned pier at Acarsaid on the East coast of Eriskay, by introducing an enlarged concrete deck pier (extending the life of the facility by 50 years) and extending the in-demand pontoon. This will improve vessel unloading, address berthing demand and will minimise idling times for unloading and steaming time to more distant berths, reducing fuel consumption and emissions. Improved berthing will encourage additional employment, provide vessel space for shellfish landings to local processors and help develop local, national, and international markets for the highest quality seafood produce.
£200,000 - Kirkwall Bridge Street Development  - Mainland Orkney, Orkney Islands Council
The focus of this application is a rapid first phase to establish new activity within The Bridge Street Development Project in Kirkwall which occupies a prime location in one of the most historic parts of the town but is vacant brownfield site with derelict warehouse buildings. The project responds to the urgent pressures and risks of decline, ensuring that Kirkwall town centre does not fall into a self-perpetuating state of decline.  Plans are to create a reusable steel framed multioccupancy food and drink hospitality and leisure business environment. With an estimated project cost of £4,650,000 the Phase One Project represents a significant investment in the regeneration of Kirkwall's town centre.
£78,350  - An Taigh Mor, Lewis -  Comhairle nan Eilean Siar
This application is to progress the design of An Taigh Mòr, a Grade 2 listed building, to RIBA 4 and building warrant stages, planning interpretation in detail and for preparing tender documents to renovate, extend and fit out the building for future use. The preservation and redevelopment work will ultimately enable the local community to deliver the project aims of successfully interpreting its links to the Flannan Isles, providing space for community use of a size and nature not available elsewhere locally and increase opportunities for the community to engage with its history, language, and culture in an appropriate setting. Focussing on community needs as well as visitor demand, the provision of rural facilities for heritage and wellbeing activities will increase employment opportunities and participation in community projects.
£55,000 - Seallam! Hebrides People Visitor Centre, Harris -  Comhairle nan Eilean Siar
This application is to complete RIBA Stage 3 and 4 work to enable the refurbishment and extension of the existing facilities at the Seallam! Hebrides People Visitor Centre to be upgraded to provide a much-needed quality attraction in South Harris, which is community owned and run. The facility is already creating and sustaining local jobs, building partnerships across islands and once complete will kick start the economic regeneration of Northton township, creating transformational and critical infrastructure for South Harris.            ",2023-05-16,"Investing in Scotland's islands"
"7","
                    
                        Co-chair announced for group to work with private sector.
                    

Involving businesses at an early stage of policy development will be one of the key aims of a group established by the Scottish Government to deepen links with the private sector.
Dr Poonam Malik, Head of Investments at the University of Strathclyde, will co-chair the New Deal for Business Group alongside Wellbeing Economy Secretary Neil Gray.
Meeting for the first time on Wednesday (17 May), it will focus on four key areas - economic conditions and performance; ensuring the best environment to do business; and a transition to a wellbeing economy.
Aims of the group include:
agreeing ways to involve business at the earliest stages of policy development, to ensure it is effective and proportionate
improving the development and implementation of regulation – such as public health restrictions on advertising and promotions - and properly assessing its impact on particular sectors
establishing a consultative sub-group to advise on further enhancements to the Non-Domestic Rates system, following the final implementation of the independent Barclay Review
demonstrating how business contributes to a wellbeing economy – for example supporting parents into jobs - and working in partnership with employers to maximise this
collating and sharing data and evidence across sectors to dictate the response to emerging opportunities and changes in the business climate
Wellbeing Economy Secretary Neil Gray said:
“I look forward to working with Dr Malik and other members of the New Deal Group to deepen our relationship with business, not only by engaging and communicating, but actively working together to achieve common goals and align Scottish Government policy with business.
”In the Scottish Government’s Policy Prospectus, the First Minister pledged to help business and trade to thrive and maximise the opportunity of the green economy, with fairness at its heart.
“Only by working closely with business can we hope to achieve an economy which prospers while caring for people and planet. This is our vision for a wellbeing economy.”
Dr Poonam Malik said:
“I look forward to working as part of the New Deal for Business Group to build constructive relationships and push forward a successful and enabling wellbeing economy for Scotland – something I’m passionate about. The establishment of this Group is timely, given external turbulences and big economic challenges, but I believe we can work through these together to make the most of the opportunities of a Just Transition.
“My experience has shown me that improved collaboration and meaningful engagement can bring about positive change in growing economies and support businesses with purpose to have a positive impact on communities. We will take a refreshed approach to our common vision and shared economic goals to deliver a healthy and happy future with the equitable and fair society that we all aspire to.”
Background
Dr Malik has extensive experience in leading and mentoring small businesses as well as working in research, innovation, enterprise, governance, health and business sectors globally. She is a Board Member of Skills Development Scotland, as well as a Climate Champion for the Scottish Enterprise Board. Dr Malik is also a GlobalScot – an international network of business leaders, providing Scottish companies with critical market insights and highlighting opportunities in Scotland to potential investors.
The New Deal for Business Group will include business leaders, along with representatives from organisations including the Scottish Retail Consortium, Scottish Tourism Alliance and Fraser of Allander Institute.
The Scottish Government’s Regulatory Joint Taskforce will take forward actions in relation to regulation.            ",2023-05-15,"Developing a New Deal for Business"
"8","
                    
                        Return to pre-pandemic advice for health and social care.
                    

People in health and social care settings will no longer be advised to wear facemasks from Tuesday (16 May).
The return to pre-pandemic guidance means that mask use will be based on clinical need based on infection prevention and control advice, meaning  staff, patients, service users and visitors will not be routinely asked to wear facemasks in health and social care settings.
It follows a review of the guidance introduced during the Covid-19 pandemic to protect staff, patients, service users and visitors, and recognises that Scotland has entered a calmer phase of the pandemic.
Chief Nursing Officer Alex McMahon said:
“Due to the success of vaccines in protecting people, and the availability of treatments, now is the right time to revise the advice on wearing masks in health and social care settings and return to pre-pandemic guidance.
“We recognise that some staff may have concerns around the withdrawal of this guidance and would expect organisations to undertake individual occupational health assessments and risk assessments as appropriate.
“We continue to be vigilant in our response to Covid-19 and encourage everyone to make sure they are up to date with the boosters available to them. We are grateful for the tireless work of health and social care teams during these challenging times and to everyone who has helped them by adhering to the guidance.”
Background
Coronavirus (COVID-19): extended use of face masks and face coverings in hospitals, primary care and wider community healthcare
Coronavirus (COVID-19): use of face coverings in social care settings including adult care homes
",2023-05-12,"Facemask guidance update"
"9","
                    
                        Changes to residency conditions to be introduced for 2023-24 academic year.
                    

Eligibility for free student tuition support in Scotland will be extended to cover a wider range of immigration statuses under new proposals.
The Scottish Government has published its response to a recent consultation on student support residency conditions which was launched following the decision in the Jasim v Scottish Ministers court case.
Regulations have been laid in Parliament to extend student financial support to those currently residing in Scotland, who have been granted leave to enter or remain in the United Kingdom where they have also been resident for three years.
The proposed changes, for the 2023-24 academic year, will also see eligibility widened for asylum seeking children to remove the time limit which previously applied. It means unaccompanied asylum seeking children and the children of asylum seekers will be able to apply for tuition fee support.
Higher and Further Education Minister Graeme Dey said:
""Scotland has a strong track record in supporting our young people. I recognise the impact that any delay to an asylum claim can have on a young person's education journey and I hope the changes set out here will go some way to address that.
""In addition, the changes we are proposing to capture a range of immigration statues will mean that all students, other than excepted groups, must now meet the same length of residence in the UK – three years – to access support.
""The public consultation and stakeholder engagement we carried out was generally positive about the proposed changes. We will now seek to engage on other important issues highlighted in the consultation.”
Background
The Scottish Government’s response to the consultation can be read online.
Regulations on the changes to eligibility, including unaccompanied asylum seeking children and children of asylum seekers have been laid in the Scottish Parliament – to be in force for the start of the 2023-24 academic year, from 1 August 2023. Impact Assessments have been published alongside the amending regulations.            ",2023-05-12,"Student support"
"10","
                    
                        NHS Lothian de-escalated to Stage 2.
                    

Following performance improvements in relation to the delivery of Children and Adolescent Mental Health Services (CAMHS) and Psychological Therapies, NHS Lothian Health Board has been de-escalated to Stage 2 of NHS Board performance escalation framework.
Robust measures will remain in place to ensure NHS Lothian continues to receive support to help maintain improvements.
NHS Lothian was originally escalated to Stage 3 for mental health performance in July 2019.
The improvements to CAMHS and Psychological Therapies has resulted in a significant decrease in the number of children, young people and adults waiting to start treatment compared to the period prior to escalation.
Health Secretary Michael Matheson said:
“Escalating a health board is never done lightly and, following progress to improve the provision of mental health services, care and support, I am pleased that we are now able to de-escalate NHS Lothian. This is a positive step forward.
“Staff have worked hard to support the improvement work while delivering high quality patient care. It has been a challenging time for them, as well as patients and families, and support for the Board will continue to improve services even further for patients.”
Background
Of the children and young people waiting to start treatment at end November 2022, 96 children and young people (6.4%) had been waiting longer than one year for treatment in CAMHS, an 82.4% decrease from the number at the end of December 2021 (547).  
While 3,933 patients were waiting to start Psychological Therapies treatment at the end November 2022, a 4.9% decrease from 4,136 in September 2022 and a 22.6% decrease from 5,082 at the same time last year.
The decision on a Board’s Stage 3 Escalated position sits with the Director General for Health and Social Care, as detailed in the NHS Scotland Board Performance Escalation Framework. Any further decisions regarding NHS Lothian’s position would be undertaken through the appropriate governance channels.
NHS Board performance framework            ",2023-05-12,"Change to health board escalation"
