authority,location,region,food_insecurity2017-2021,food_insecurity2018-2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,house_price_change,welfare_applications2020-2021,welfare_applications2021-2022,welfare_change,homelessness_applications2020-21,homelessness_applications 2021-2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021
Scotland,n/a,n/a,9,9,76.53,"£192,966","£175,659",9.90%,356625,356165,460,"35,103","36,744",13236.38485,46998.85501,"78,410","74,950"," 224,619 "," 197,037 ",693,736,1409.708
Aberdeen City,Urban,north_east,8,10,76.9,"£203,981","£192,388",6.00%,20265,17130,,"1,401","1,548",13433.50335,2260.346635,"4,525","4,030"," 3,639 "," 3,180 ",649,663,1301.606933
Aberdeenshire,Rural,north_east,8,8,78.77,"£174,958","£157,190",11.30%,8935,9360,,902,956,15681.06284,1486.347245,"7,620","7,185"," 9,705 "," 8,592 ",649,663,1614.001076
Angus,Rural,east,9,8,78.22,"£196,135","£164,462",19.30%,5130,4865,,514,519,13856.21879,922.310068,"1,825","1,765"," 3,616 "," 3,646 ",601,648,1434.551407
Argyll and Bute,Rural,highlands_islands,6,7,77.7,"£148,896","£147,641",0.80%,2355,2390,,422,446,15099.56687,443.1732078,"2,030","2,040",NULL,NULL,583,612,1854.221537
City of Edinburgh,Urban,east,7,6,77.95,"£153,399","£139,179",10.20%,39785,38625,,553,573,12430.14442,4581.8243,"10,160","9,460"," 29,596 "," 17,803 ",942,"1,006",1315.316731
Clackmannanshire,Urban,east,6,6,75.32,"£328,808","£305,995",7.50%,3675,3500,,893,"1,190",12829.4737,954.2531063,430,425,NULL,NULL,642,697,1847.455602
Dumfries and Galloway,Rural,south_west,11,9,77.39,"£175,263","£157,770",11.10%,9415,9445,,"1,394","1,436",13400.92795,1231.371703,"3,260","3,280"," 2,674 "," 2,918 ",477,480,1739.150558
Dundee City,Urban,east,11,10,73.53,"£168,895","£150,964",11.90%,12580,13040,,795,"1,007",12555.38204,1340.754866,"1,260","1,260"," 12,719 "," 12,751 ",601,648,1453.49039
East Ayrshire,Urban,south_west,13,13,74.88,"£165,012","£144,075",14.50%,8585,8970,,292,368,16636.83909,900.4047498,"1,335","1,305"," 8,643 "," 5,770 ",500,493,1525.793391
East Dunbartonshire,Urban,south_west,4,4,80.01,"£128,701","£107,417",19.80%,3515,3405,,649,667,16636.83909,900.4047498,"1,195","1,100"," 5,361 "," 4,889 ",721,780,1564.23939
East Lothian,Rural,east,6,6,78.87,"£269,476","£236,236",14.10%,6020,6560,,369,389,13129.56931,857.6399624,"1,495","1,415"," 6,951 "," 8,565 ",942,"1,006",1814.243318
East Renfrewshire,Urban,south_west,6,6,79.39,"£306,467","£272,892",12.30%,1470,1520,,"2,212","3,130",17274.03265,753.8480809,"1,170","1,090"," 4,078 "," 4,122 ",518,547,1267.90957
Falkirk,Urban,east,4,4,76.21,"£295,374","£255,791",15.50%,6705,6710,,140,155,13269.92982,1381.277084,"1,430","1,300"," 7,547 "," 7,779 ",642,697,1297.210737
Fife,Rural,east,8,8,76.85,"£165,978","£145,915",13.70%,33395,33810,,"1,135","1,179",13565.76475,3700.906635,"3,815","3,540"," 16,333 "," 14,800 ",616,649,1491.445988
Glasgow City,Urban,south_west,13,13,72.94,"£168,599","£154,948",8.80%,61315,62405,,"2,536","2,658",11068.74212,5158.579925,"8,330","8,135"," 32,868 "," 29,809 ",797,858,1452.271062
Highland,Rural,highlands_islands,8,6,77.56,"£201,686","£183,957",9.60%,8645,9315,,"7,262","6,323",13701.26785,1120.449919,"5,330","5,315"," 7,699 "," 5,526 ",612,643,1258.915212
Inverclyde,Rural,south_west,8,9,74.05,"£124,516","£118,387",5.20%,4450,4000,,"1,109","1,345",13438.00568,687.6152136,645,605," 6,069 "," 5,386 ",518,547,1441.267949
Midlothian,Rural,east,8,9,77.56,"£232,850","£212,862",9.40%,7930,8125,,323,320,12936.34836,712.9778322,965,925," 4,342 "," 5,660 ",942,"1,006",1373.267392
