authority,location,region,food_insecurity2017_2021,food_insecurity2018_2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,welfare_applications2020_2021,welfare_applications2021_2022,homelessness_applications2020_21,homelessness_applications2021_2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021,Foodbank_difference,Population,SIMDQuint,SIMDDecil,Alcohol,PT_GP,SIMD,Foobank_pc_2021,Foodbank_pc_2022,Deprivation
Aberdeen City,Urban,north_east,8,10,76.9,203981,192388,20265,17130,1401,1548,13433.50335,2260.346635,4525,4030,3639,3180,649,663,1301.606933,-459,228800,3,6,0.1911667599504443,7.889789178215548,4230.363957597173,15.904720279720278,13.898601398601398,least
Aberdeenshire,Rural,north_east,8,8,78.77,174958,157190,8935,9360,902,956,15681.06284,1486.347245,7620,7185,9705,8592,649,663,1614.001076,-1113,261800,3,7,0.09414646630836168,14.742757092655882,4674.364705882353,37.070282658517954,32.818945760122226,least
Angus,Rural,east,9,8,78.22,196135,164462,5130,4865,514,519,13856.21879,922.310068,1825,1765,3616,3646,601,648,1434.551407,30,116280,3,5,0.12087708550016384,14.058066125754838,3766.3806451612904,31.09735122119023,31.355349157206746,least
Argyll and Bute,Rural,highlands_islands,6,7,77.7,148896,147641,2355,2390,422,446,15099.56687,443.1732078,2030,2040,NA,NA,583,612,1854.221537,NA,86810,3,5,0.26355915846361705,14.375834316864,3549.544,NA,NA,least
City of Edinburgh,Urban,east,7,6,77.95,153399,139179,39785,38625,553,573,12430.14442,4581.8243,10160,9460,29596,17803,942,1006,1315.316731,-11793,513210,3,6,0.1401575023038901,7.42062157102345,4518.948073701843,57.66840084955476,34.68950332222676,least
Clackmannanshire,Urban,east,6,6,75.32,328808,305995,3675,3500,893,1190,12829.4737,954.2531063,430,425,NA,NA,642,697,1847.455602,NA,51450,2,4,0.17736256948733786,9.671149837444444,3043.347222222222,NA,NA,most
Dumfries and Galloway,Rural,south_west,11,9,77.39,175263,157770,9415,9445,1394,1436,13400.92795,1231.371703,3260,3280,2674,2918,477,480,1739.150558,244,149200,2,5,0.14866823699945642,13.03684282324378,3374.781094527363,17.922252010723863,19.55764075067024,most
Dundee City,Urban,east,11,10,73.53,168895,150964,12580,13040,795,1007,12555.38204,1340.754866,1260,1260,12719,12751,601,648,1453.49039,32,148710,2,4,0.19368229219398603,8.606099438845744,2748.686170212766,85.52888171609172,85.74406563109407,most
East Ayrshire,Urban,south_west,13,13,74.88,165012,144075,8585,8970,292,368,16636.83909,900.4047498,1335,1305,8643,5770,500,493,1525.793391,-2873,121940,2,4,0.22170285550144275,10.86918530517178,2759.1901840490796,70.87912087912088,47.31835328850254,most
East Dunbartonshire,Urban,south_west,4,4,80.01,128701,107417,3515,3405,649,667,16636.83909,900.4047498,1195,1100,5361,4889,721,780,1564.23939,-472,108130,3,7,0.13677109465826348,10.536967390376924,4899.9384615384615,49.57921020993249,45.21409414593545,least
East Lothian,Rural,east,6,6,78.87,269476,236236,6020,6560,369,389,13129.56931,857.6399624,1495,1415,6951,8565,942,1006,1814.243318,1614,104840,3,6,0.12977992700167865,10.291342067333334,3813.340909090909,66.30103014116749,81.69591758870659,least
East Renfrewshire,Urban,south_west,6,6,79.39,306467,272892,1470,1520,2212,3130,17274.03265,753.8480809,1170,1090,4078,4122,518,547,1267.90957,44,94760,4,7,0.1355611269877448,8.836644767081967,5178.581967213115,43.035035880118194,43.49936682144365,least
Falkirk,Urban,east,4,4,76.21,295374,255791,6705,6710,140,155,13269.92982,1381.277084,1430,1300,7547,7779,642,697,1297.210737,232,160130,2,5,0.16523745734372405,9.613908797373831,3406.654205607477,47.130456504090425,48.57927933553987,most
Fife,Rural,east,8,8,76.85,165978,145915,33395,33810,1135,1179,13565.76475,3700.906635,3815,3540,16333,14800,616,649,1491.445988,-1533,371410,3,5,0.20095059896337397,9.193821297048585,3494.251012145749,43.97566032147761,39.84814625346652,least
Glasgow City,Urban,south_west,13,13,72.94,168599,154948,61315,62405,2536,2658,11068.74212,5158.579925,8330,8135,32868,29809,797,858,1452.271062,-3059,621020,2,3,0.2993941691348242,7.098029629738606,2356.975871313673,52.925831696241666,48.00006441016392,most
