authority,location,region,food_insecurity2017-2021,food_insecurity2018-2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,house_price_change,welfare_applications2020-2021,welfare_applications2021-2022,homelessness_applications2021-21,homelessness_applications 2021-2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021,Foodbank_difference,Population,SIMD,Deprivation,Foobank_pc_2021,Foodbank_pc_2022,PT_GP,Alcohol
Aberdeen City,Urban,north_east,8,10,76.9,"£203,981","£192,388",6.00%,20265,17130,1401,1548,13433.50335,2260.346635,4525,4030,3639,3180,649,663,1301.606933,-459,228800,4230.363957597173,Least,15.904720279720278,13.898601398601398,7.889789178215548,0.1911667599504443
Aberdeenshire,Rural,north_east,8,8,78.77,"£174,958","£157,190",11.30%,8935,9360,902,956,15681.06284,1486.347245,7620,7185,9705,8592,649,663,1614.001076,-1113,261800,4674.364705882353,Least,37.070282658517954,32.818945760122226,14.742757092655882,0.09414646630836167
Angus,Rural,east,9,8,78.22,"£196,135","£164,462",19.30%,5130,4865,514,519,13856.21879,922.310068,1825,1765,3616,3646,601,648,1434.551407,30,116280,3766.3806451612904,Least,31.09735122119023,31.355349157206742,14.058066125754838,0.12087708550016385
Argyll and Bute,Rural,highlands_islands,6,7,77.7,"£148,896","£147,641",0.80%,2355,2390,422,446,15099.56687,443.1732078,2030,2040,NA,NA,583,612,1854.221537,NA,86810,3549.544,Least,NA,NA,14.375834316864,0.26355915846361705
City of Edinburgh,Urban,east,7,6,77.95,"£153,399","£139,179",10.20%,39785,38625,553,573,12430.14442,4581.8243,10160,9460,29596,17803,942,1006,1315.316731,-11793,513210,4518.948073701843,Least,57.66840084955476,34.68950332222676,7.42062157102345,0.1401575023038901
Clackmannanshire,Urban,east,6,6,75.32,"£328,808","£305,995",7.50%,3675,3500,893,1190,12829.4737,954.2531063,430,425,NA,NA,642,697,1847.455602,NA,51450,3043.347222222222,Most,NA,NA,9.671149837444444,0.17736256948733786
Dumfries and Galloway,Rural,south_west,11,9,77.39,"£175,263","£157,770",11.10%,9415,9445,1394,1436,13400.92795,1231.371703,3260,3280,2674,2918,477,480,1739.150558,244,149200,3374.781094527363,Most,17.922252010723863,19.55764075067024,13.03684282324378,0.14866823699945642
Dundee City,Urban,east,11,10,73.53,"£168,895","£150,964",11.90%,12580,13040,795,1007,12555.38204,1340.754866,1260,1260,12719,12751,601,648,1453.49039,32,148710,2748.686170212766,Most,85.52888171609172,85.74406563109407,8.606099438845744,0.19368229219398603
East Ayrshire,Urban,south_west,13,13,74.88,"£165,012","£144,075",14.50%,8585,8970,292,368,16636.83909,900.4047498,1335,1305,8643,5770,500,493,1525.793391,-2873,121940,2759.1901840490796,Most,70.87912087912088,47.31835328850254,10.86918530517178,0.22170285550144275
East Dunbartonshire,Urban,south_west,4,4,80.01,"£128,701","£107,417",19.80%,3515,3405,649,667,16636.83909,900.4047498,1195,1100,5361,4889,721,780,1564.23939,-472,108130,4899.9384615384615,Least,49.57921020993249,45.21409414593545,10.536967390376923,0.13677109465826348
