anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
0,1,0,0,0,0,0,0,1,2
8,5,12,5,4,13,3,7,19,12
0,1,0,0,2,0,0,1,3,3
2,0,2,2,0,2,2,2,4,3
9,12,4,13,11,11,6,14,20,21
1,3,0,0,2,0,1,5,4,5
0,2,0,0,0,0,0,2,0,9
19,23,2,17,14,14,15,35,34,56
0,3,2,1,2,3,1,3,5,7
3,3,3,8,1,5,0,5,7,6
0,0,0,1,0,1,0,0,1,0
1,4,0,2,3,0,1,5,2,9
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
4,5,1,4,4,4,1,7,8,13
0,0,0,0,0,0,1,2,0,3
0,3,0,1,2,2,1,3,1,5
2,1,0,1,2,1,1,2,6,5
0,1,0,0,2,0,0,1,1,5
1,1,3,4,1,4,2,3,7,9
3,2,2,0,3,1,0,6,6,9
2,2,2,5,1,6,0,3,7,1
1,5,1,1,3,2,1,5,3,14
0,1,0,0,1,1,0,2,2,2
10,6,4,9,5,7,5,12,20,15
1,1,0,0,0,0,0,1,2,0
0,1,0,0,1,0,1,1,0,1
2,2,2,2,2,2,1,3,3,5
0,0,1,0,1,1,0,1,2,1
1,7,0,5,6,2,2,9,5,17
2,3,0,1,0,0,0,2,3,2
6,16,0,6,8,4,5,15,13,22
8,16,3,12,10,12,9,22,19,33
2,0,2,2,0,2,0,1,5,0
0,3,0,2,3,0,1,1,2,7
4,7,2,3,4,2,2,8,6,11
0,0,0,0,0,0,0,0,1,1
3,4,3,6,5,5,2,10,11,15
3,3,1,1,2,3,3,6,7,5
1,1,0,0,1,0,1,2,0,2
1,1,0,0,2,0,1,1,2,4
0,0,0,0,0,0,0,3,0,2
6,4,5,4,1,4,1,1,13,2
2,4,3,1,3,2,2,7,10,7
0,0,0,0,0,0,0,1,0,0
0,1,0,2,0,0,0,3,2,3
2,7,0,4,10,4,1,12,4,18
2,6,0,5,0,5,1,3,10,6
7,10,9,9,3,6,3,12,19,19
1,0,0,3,0,3,0,0,5,0
5,8,5,6,2,5,2,4,8,7
0,0,0,0,0,0,0,0,0,2
0,1,0,0,1,1,0,2,1,1
5,2,7,4,1,8,1,5,14,9
1,6,1,4,2,1,2,3,3,3
5,9,3,5,8,5,3,14,10,23
1,2,1,1,2,1,0,3,1,5
1,4,0,0,0,0,1,3,3,5
1,0,0,3,0,1,0,1,2,3
1,4,0,1,1,0,0,1,2,1
0,1,0,0,2,0,2,1,0,6
8,8,3,4,4,7,4,11,11,13
1,1,1,2,0,2,0,0,3,0
0,0,0,0,0,0,0,1,1,2
3,5,1,1,3,1,0,5,7,8
1,2,0,1,1,1,0,4,1,7
0,1,0,0,2,0,1,2,0,5
6,4,6,7,8,10,0,13,19,15
2,12,1,3,10,2,5,13,6,20
1,0,0,1,0,1,1,0,1,1
2,5,1,3,0,3,0,1,7,2
0,5,0,2,5,1,3,5,2,11
0,4,0,2,3,0,1,4,1,8
1,5,0,0,7,1,3,6,2,10
2,0,2,2,0,1,0,1,3,4
0,0,0,0,0,0,0,1,0,3
1,1,0,0,2,1,0,2,1,2
0,3,1,1,3,1,1,2,1,5
2,0,1,2,1,2,0,2,5,2
0,3,0,0,0,0,1,2,0,4
1,4,0,1,4,3,1,5,1,13
1,5,0,1,6,1,2,5,3,9
15,11,14,15,10,14,6,13,30,23
0,3,0,1,4,2,3,7,2,8
32,52,13,50,37,44,16,88,73,132
2,14,2,5,12,5,4,12,6,23
0,1,1,0,1,0,1,2,2,4
